dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Conyngham,Conyngham,Conyngham,18219,40.990662,-76.056358,0,Convertible,Black,0.17,18219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Coopersburg,Coopersburg,Coopersburg,18036,40.502424,-75.411145,30,Casual,Black,0.17,18036,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
Fans,Philadelphia Phillies,MLB,Cornwall,Cornwall,Cornwall,17016,40.275536,-76.405309,25,Convertible,Black,0.17,17016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Croydon,Croydon,Croydon,19021,40.090878,-74.887554,40,Casual,Black,0.17,19021,0,18,16,0,0,3,4,0,0,3,7,6,1,0,0,0
Fans,Philadelphia Phillies,MLB,Darby,Darby,Darby,19023,39.917562,-75.269628,27,Casual,Black,0.17,19023,125,55,34,59,31,86,48,36,29,65,84,152,79,29,38,14
Fans,Philadelphia Phillies,MLB,Delanco,Riverside,Riverside,8075,40.029586,-74.948936,26,Convertible,Black,0.17,8075,7,11,9,7,3,11,15,6,17,61,35,18,30,4,17,25
Fans,Philadelphia Phillies,MLB,Deptford Township,Woodbury,Woodbury,8096,39.822013,-75.129669,32,Casual,Black,0.17,8096,11,29,9,1,12,21,4,3,9,23,23,21,13,21,7,33
Fans,Philadelphia Phillies,MLB,Doylestown,Doylestown,Doylestown,18901,40.31011,-75.12989,29,Casual,Black,0.17,18901,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0
Fans,Philadelphia Phillies,MLB,Dublin,Dublin,Dublin,43016,40.09746,-83.150103,25,Convertible,Black,0.17,43016,0,0,0,0,9,0,7,0,2,4,0,22,7,35,17,7
Fans,Philadelphia Phillies,MLB,Dupont,Pittston,Pittston,18641,41.342515,-75.722968,0,Convertible,Black,0.17,18641,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,East Norriton,Norristown,Norristown,19401,40.13018,-75.331629,24,Convertible,Black,0.17,19401,68,38,39,53,43,75,35,80,35,24,91,101,94,54,21,27
Fans,Philadelphia Phillies,MLB,East Petersburg,East Petersburg,East Petersburg,17520,40.097468,-76.356832,21,Convertible,Black,0.17,17520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Easton,Easton,Easton,21601,38.800714,-76.051486,18,Convertible,Black,0.17,21601,42,12,17,11,3,11,0,13,9,28,27,26,1,21,12,3
Fans,Philadelphia Phillies,MLB,Eddystone,Crum Lynne,Crum Lynne,19022,39.86144,-75.337023,0,Convertible,Black,0.17,19022,0,0,0,6,8,31,0,0,3,2,4,4,0,0,0,0
Fans,Philadelphia Phillies,MLB,Edgewater Park,Beverly,Beverly,8010,40.049948,-74.917061,17,Convertible,Black,0.17,8010,4,26,1,5,8,2,0,15,14,7,12,20,27,13,11,7
Fans,Philadelphia Phillies,MLB,Elizabethville,Elizabethville,Elizabethville,17023,40.54897,-76.81192,0,Convertible,Black,0.17,17023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Ellington,Ellington,Ellington,6029,41.90399,-72.46981,0,Convertible,Black,0.17,6029,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33,11
Fans,Philadelphia Phillies,MLB,Ephrata,Ephrata,Ephrata,98823,47.31764,-119.55365,29,Casual,Black,0.17,98823,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Fans,Philadelphia Phillies,MLB,Erma,Cape May,Cape May,8204,38.95928,-74.9274,26,Convertible,Black,0.17,8204,0,0,2,1,0,0,2,1,0,1,0,10,0,1,0,0
Fans,Philadelphia Phillies,MLB,Exeter,Exeter,Exeter,3833,42.97731,-70.94687,0,Convertible,Black,0.17,3833,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0
Fans,Philadelphia Phillies,MLB,Exton,Exton,Exton,19341,40.049852,-75.637035,26,Convertible,Black,0.17,19341,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2
Fans,Philadelphia Phillies,MLB,Flourtown,Flourtown,Flourtown,19031,40.106805,-75.215071,42,Casual,Black,0.17,19031,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3
Fans,Philadelphia Phillies,MLB,Folcroft,Folcroft,Folcroft,19032,39.895162,-75.278829,17,Convertible,Black,0.17,19032,9,0,5,4,7,4,0,15,0,12,35,22,13,6,14,1
Fans,Philadelphia Phillies,MLB,Folsom,Folsom,Folsom,19033,39.890962,-75.327282,38,Casual,Black,0.17,19033,3,0,0,0,0,0,0,0,0,6,0,9,0,0,2,0
Fans,Philadelphia Phillies,MLB,Fort Loudon,Fort Loudon,Fort Loudon,17224,39.91481,-77.90472,0,Convertible,Black,0.17,17224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fans,Philadelphia Phillies,MLB,Fort Washington,Fort Washington,Fort Washington,19034,40.130959,-75.207437,19,Convertible,Black,0.17,19034,0,0,0,0,0,0,0,0,0,3,0,0,2,0,4,0
Fans,Philadelphia Phillies,MLB,Franklin,Franklin,Franklin,37064,35.890746,-86.965691,25,Convertible,Black,0.17,37064,16,29,2,14,24,8,2,1,2,8,13,33,24,27,10,26
Fans,Philadelphia Phillies,MLB,Gap,Gap,Gap,17527,40.011961,-76.021595,36,Casual,Black,0.17,17527,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Gardendale,Gardendale,Gardendale,35071,33.70615,-86.848289,0,Convertible,Black,0.17,35071,17,10,1,0,7,1,0,0,2,16,4,42,12,0,0,15
Fans,Philadelphia Phillies,MLB,Gilbertsville,Gilbertsville,Gilbertsville,19525,40.309952,-75.584885,41,Casual,Black,0.17,19525,0,0,0,0,0,0,0,2,0,0,0,0,0,6,4,1
Fans,Philadelphia Phillies,MLB,Gladeview,Miami,Miami,33147,25.851779,-80.238173,0,Convertible,Black,0.17,33147,202,98,107,125,52,50,47,126,98,78,132,167,76,26,35,16
Fans,Philadelphia Phillies,MLB,Gladwyne,Gladwyne,Gladwyne,19035,40.04486,-75.280686,17,Convertible,Black,0.17,19035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Glenolden,Glenolden,Glenolden,19036,39.902512,-75.29268,72,Avid,Black,0.17,19036,10,2,0,2,1,10,7,10,4,9,10,10,11,4,6,1
Fans,Philadelphia Phillies,MLB,Gloucester City,Gloucester City,Gloucester City,8030,39.890413,-75.112619,48,Casual,Black,0.17,8030,1,0,0,15,0,0,2,0,11,1,3,4,0,2,3,10
Fans,Philadelphia Phillies,MLB,Goldsboro,Goldsboro,Goldsboro,27530,35.368277,-78.092871,0,Convertible,Black,0.17,27530,107,109,80,80,96,47,40,69,37,122,95,134,40,15,19,17
Fans,Philadelphia Phillies,MLB,Greenville,Greenville,Greenville,45331,40.156478,-84.649068,18,Convertible,Black,0.17,45331,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Greenwich Township,Stewartsville,Stewartsville,8886,40.717349,-75.072957,0,Convertible,Black,0.17,8886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,14
