dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Croydon,Croydon,Croydon,19021,40.090878,-74.887554,40,Casual,Hispanic,0.18,19021,3,0,0,0,9,0,6,2,0,0,10,17,10,11,0,2
Fans,Philadelphia Phillies,MLB,Darby,Darby,Darby,19023,39.917562,-75.269628,27,Casual,Hispanic,0.18,19023,2,4,0,0,1,0,0,0,1,5,7,10,8,0,3,0
Fans,Philadelphia Phillies,MLB,Delanco,Riverside,Riverside,8075,40.029586,-74.948936,26,Convertible,Hispanic,0.18,8075,41,2,0,10,8,2,0,0,15,9,13,28,30,5,13,7
Fans,Philadelphia Phillies,MLB,Deptford Township,Woodbury,Woodbury,8096,39.822013,-75.129669,32,Casual,Hispanic,0.18,8096,8,6,7,28,0,4,6,2,5,10,7,26,25,30,10,12
Fans,Philadelphia Phillies,MLB,Doylestown,Doylestown,Doylestown,18901,40.31011,-75.12989,29,Casual,Hispanic,0.18,18901,0,0,0,0,12,0,1,0,1,0,3,3,6,3,5,0
Fans,Philadelphia Phillies,MLB,Dublin,Dublin,Dublin,43016,40.09746,-83.150103,25,Convertible,Hispanic,0.18,43016,15,0,0,5,0,3,8,6,9,2,7,0,5,3,0,24
Fans,Philadelphia Phillies,MLB,Dupont,Pittston,Pittston,18641,41.342515,-75.722968,0,Convertible,Hispanic,0.18,18641,0,0,0,3,0,0,0,2,0,3,2,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,East Norriton,Norristown,Norristown,19401,40.13018,-75.331629,24,Convertible,Hispanic,0.18,19401,8,25,14,35,27,22,25,8,32,21,70,87,43,12,36,9
Fans,Philadelphia Phillies,MLB,East Petersburg,East Petersburg,East Petersburg,17520,40.097468,-76.356832,21,Convertible,Hispanic,0.18,17520,0,6,0,0,5,0,0,0,0,0,0,3,0,3,11,8
Fans,Philadelphia Phillies,MLB,Easton,Easton,Easton,21601,38.800714,-76.051486,18,Convertible,Hispanic,0.18,21601,1,14,0,0,2,15,0,3,11,9,14,7,3,1,4,2
