dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,Intensity Score,US lat,US lon,Race,helper,mapping,Fandom Level,cheat,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Oklahoma City Thunder,NBA,Chickasha,Chickasha,Chickasha,73018,0,35.127804,-97.937083,Hispanic,0.26,,convertible,INDEX MATCH,6,5,0,5,14,5,0,3,14,0,14,21,19,3,3,4
Fans,Oklahoma City Thunder,NBA,Claremore,Claremore,Claremore,74017,10,36.348616,-95.604344,Hispanic,0.26,,casual,INDEX MATCH,6,0,0,2,4,9,12,5,9,3,27,23,7,3,8,2
Fans,Oklahoma City Thunder,NBA,Clovis,Clovis,Clovis,88101,0,34.497241,-103.294978,Hispanic,0.26,,convertible,INDEX MATCH,138,126,120,115,105,113,69,69,67,140,142,240,51,53,73,22
Fans,Oklahoma City Thunder,NBA,Cold Spring Harbor,Cold Spring Harbor,Cold Spring Harbor,11724,0,40.860098,-73.442315,Hispanic,0.26,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Fans,Oklahoma City Thunder,NBA,Cole,Blanchard,Blanchard,73010,0,35.13784,-97.65809,Hispanic,0.26,,convertible,INDEX MATCH,2,6,0,0,3,0,1,0,1,5,9,6,12,13,1,4
Fans,Oklahoma City Thunder,NBA,Concord,Concord,Concord,28025,0,35.371633,-80.562141,Hispanic,0.26,,convertible,INDEX MATCH,69,4,0,2,13,60,13,13,2,30,34,84,20,25,3,61
Fans,Oklahoma City Thunder,NBA,Cottage Grove,Cottage Grove,Cottage Grove,97424,0,43.72893,-123.049498,Hispanic,0.26,,convertible,INDEX MATCH,16,7,10,0,0,1,3,0,0,8,23,13,36,2,5,0
Fans,Oklahoma City Thunder,NBA,Coweta,Coweta,Coweta,74429,0,36.002092,-95.674795,Hispanic,0.26,,convertible,INDEX MATCH,0,3,3,3,0,2,5,0,3,18,3,5,7,1,6,3
Fans,Oklahoma City Thunder,NBA,Crystal,Minneapolis,Minneapolis,55422,0,45.009601,-93.342428,Hispanic,0.26,,convertible,INDEX MATCH,0,2,0,0,0,0,0,0,12,7,17,33,11,8,0,18
Fans,Oklahoma City Thunder,NBA,Custer,Custer,Custer,57730,0,43.657304,-103.425807,Hispanic,0.26,,convertible,INDEX MATCH,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
