dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,Intensity Score,US lat,US lon,Race,helper,mapping,Fandom Level,cheat,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Oklahoma City Thunder,NBA,Claremore,Claremore,Claremore,74017,10,36.348616,-95.604344,Black,0.27,,casual,INDEX MATCH,2,0,0,1,0,5,2,2,1,5,2,3,3,5,2,0
Fans,Oklahoma City Thunder,NBA,Clovis,Clovis,Clovis,88101,0,34.497241,-103.294978,Black,0.27,,convertible,INDEX MATCH,32,38,36,17,18,20,4,0,17,43,38,46,9,0,15,0
Fans,Oklahoma City Thunder,NBA,Cold Spring Harbor,Cold Spring Harbor,Cold Spring Harbor,11724,0,40.860098,-73.442315,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Cole,Blanchard,Blanchard,73010,0,35.13784,-97.65809,Black,0.27,,convertible,INDEX MATCH,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fans,Oklahoma City Thunder,NBA,Concord,Concord,Concord,28025,0,35.371633,-80.562141,Black,0.27,,convertible,INDEX MATCH,64,33,28,67,31,103,43,65,150,56,37,234,31,55,33,37
Fans,Oklahoma City Thunder,NBA,Cottage Grove,Cottage Grove,Cottage Grove,97424,0,43.72893,-123.049498,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,2,5,0,0,0,3,0,0,9,0
Fans,Oklahoma City Thunder,NBA,Coweta,Coweta,Coweta,74429,0,36.002092,-95.674795,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,3,0,0,3,17,9,13,2,0,2,0,0
Fans,Oklahoma City Thunder,NBA,Crystal,Minneapolis,Minneapolis,55422,0,45.009601,-93.342428,Black,0.27,,convertible,INDEX MATCH,45,45,28,0,10,4,0,4,19,13,65,77,19,12,0,16
Fans,Oklahoma City Thunder,NBA,Custer,Custer,Custer,57730,0,43.657304,-103.425807,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fans,Oklahoma City Thunder,NBA,Cuyahoga Falls,Cuyahoga Falls,Cuyahoga Falls,44221,0,41.143906,-81.473585,Black,0.27,,convertible,INDEX MATCH,5,14,0,22,22,19,4,4,6,9,25,7,16,4,2,0
Fans,Oklahoma City Thunder,NBA,Davis,Davis,Davis,73030,0,34.501771,-97.047346,Black,0.27,,convertible,INDEX MATCH,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Del City,Oklahoma City,Oklahoma City,73115,51,35.444931,-97.446013,Black,0.27,,avid,INDEX MATCH,67,29,10,29,41,8,4,13,26,15,43,57,20,11,16,2
