dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Darby,Darby,Darby,19023,39.917562,-75.269628,27,Casual,White,0.62,19023,57,95,61,63,11,60,35,48,19,66,45,123,130,161,35,25
Fans,Philadelphia Phillies,MLB,Delanco,Riverside,Riverside,8075,40.029586,-74.948936,26,Convertible,White,0.62,8075,226,97,84,155,112,79,41,123,146,122,290,513,720,769,449,742
Fans,Philadelphia Phillies,MLB,Deptford Township,Woodbury,Woodbury,8096,39.822013,-75.129669,32,Casual,White,0.62,8096,158,204,186,200,219,226,77,138,249,126,262,632,767,596,687,891
Fans,Philadelphia Phillies,MLB,Doylestown,Doylestown,Doylestown,18901,40.31011,-75.12989,29,Casual,White,0.62,18901,155,82,128,178,202,136,69,153,196,114,288,409,808,606,541,829
Fans,Philadelphia Phillies,MLB,Dublin,Dublin,Dublin,43016,40.09746,-83.150103,25,Convertible,White,0.62,43016,37,281,111,204,170,146,89,280,367,249,294,833,1045,1090,810,1156
Fans,Philadelphia Phillies,MLB,Dupont,Pittston,Pittston,18641,41.342515,-75.722968,0,Convertible,White,0.62,18641,27,25,73,47,74,149,89,74,50,71,159,190,289,238,89,112
Fans,Philadelphia Phillies,MLB,East Norriton,Norristown,Norristown,19401,40.13018,-75.331629,24,Convertible,White,0.62,19401,159,128,176,220,156,179,81,183,176,184,253,332,811,609,520,354
Fans,Philadelphia Phillies,MLB,East Petersburg,East Petersburg,East Petersburg,17520,40.097468,-76.356832,21,Convertible,White,0.62,17520,28,30,55,0,27,20,22,17,10,58,68,86,379,141,99,55
Fans,Philadelphia Phillies,MLB,Easton,Easton,Easton,21601,38.800714,-76.051486,18,Convertible,White,0.62,21601,180,107,143,200,262,143,59,166,131,128,315,317,724,494,386,531
Fans,Philadelphia Phillies,MLB,Eddystone,Crum Lynne,Crum Lynne,19022,39.86144,-75.337023,0,Convertible,White,0.62,19022,94,10,29,22,8,51,45,57,58,30,87,29,114,95,6,37
Fans,Philadelphia Phillies,MLB,Edgewater Park,Beverly,Beverly,8010,40.049948,-74.917061,17,Convertible,White,0.62,8010,37,4,35,146,79,32,28,25,116,109,156,80,228,191,126,183
Fans,Philadelphia Phillies,MLB,Elizabethville,Elizabethville,Elizabethville,17023,40.54897,-76.81192,0,Convertible,White,0.62,17023,17,25,29,46,25,32,15,29,9,21,71,92,97,130,46,60
Fans,Philadelphia Phillies,MLB,Ellington,Ellington,Ellington,6029,41.90399,-72.46981,0,Convertible,White,0.62,6029,89,57,128,161,88,42,42,32,112,29,169,250,371,337,525,360
Fans,Philadelphia Phillies,MLB,Ephrata,Ephrata,Ephrata,98823,47.31764,-119.55365,29,Casual,White,0.62,98823,73,92,87,79,87,97,78,59,53,141,158,195,430,267,74,131
Fans,Philadelphia Phillies,MLB,Erma,Cape May,Cape May,8204,38.95928,-74.9274,26,Convertible,White,0.62,8204,175,203,105,167,307,180,68,122,130,101,399,347,577,580,248,404
Fans,Philadelphia Phillies,MLB,Exeter,Exeter,Exeter,3833,42.97731,-70.94687,0,Convertible,White,0.62,3833,148,143,66,125,125,139,74,112,136,135,270,592,565,588,327,689
Fans,Philadelphia Phillies,MLB,Exton,Exton,Exton,19341,40.049852,-75.637035,26,Convertible,White,0.62,19341,89,12,45,37,76,169,128,78,79,100,210,198,483,512,596,476
Fans,Philadelphia Phillies,MLB,Flourtown,Flourtown,Flourtown,19031,40.106805,-75.215071,42,Casual,White,0.62,19031,15,20,23,42,15,17,18,37,11,24,27,51,128,92,77,153
Fans,Philadelphia Phillies,MLB,Folcroft,Folcroft,Folcroft,19032,39.895162,-75.278829,17,Convertible,White,0.62,19032,153,0,53,60,24,14,12,38,19,32,94,103,147,33,19,29
Fans,Philadelphia Phillies,MLB,Folsom,Folsom,Folsom,19033,39.890962,-75.327282,38,Casual,White,0.62,19033,76,29,22,40,56,92,61,38,27,58,50,85,242,188,195,223
Fans,Philadelphia Phillies,MLB,Fort Loudon,Fort Loudon,Fort Loudon,17224,39.91481,-77.90472,0,Convertible,White,0.62,17224,1,15,22,3,32,7,9,16,22,13,10,27,28,248,14,61
Fans,Philadelphia Phillies,MLB,Fort Washington,Fort Washington,Fort Washington,19034,40.130959,-75.207437,19,Convertible,White,0.62,19034,56,11,23,15,14,39,50,32,22,33,38,72,71,69,69,244
Fans,Philadelphia Phillies,MLB,Franklin,Franklin,Franklin,37064,35.890746,-86.965691,25,Convertible,White,0.62,37064,305,96,167,228,223,239,86,405,422,362,658,934,1430,1047,1086,1610
Fans,Philadelphia Phillies,MLB,Gap,Gap,Gap,17527,40.011961,-76.021595,36,Casual,White,0.62,17527,50,6,7,14,27,54,35,40,37,59,48,98,188,197,110,102
Fans,Philadelphia Phillies,MLB,Gardendale,Gardendale,Gardendale,35071,33.70615,-86.848289,0,Convertible,White,0.62,35071,127,105,43,60,167,115,64,51,104,180,374,270,603,283,268,403
Fans,Philadelphia Phillies,MLB,Gilbertsville,Gilbertsville,Gilbertsville,19525,40.309952,-75.584885,41,Casual,White,0.62,19525,32,23,86,43,83,88,49,33,26,60,105,268,400,361,447,692
Fans,Philadelphia Phillies,MLB,Gladeview,Miami,Miami,33147,25.851779,-80.238173,0,Convertible,White,0.62,33147,54,113,100,123,44,144,86,100,81,96,286,84,195,69,62,86
